OBJECTID,Location,Status,Name,Capacity,ID,addr_sname,addr_pname,addr_vname,winch_rating,winch_prob,village_id,candidate_minigrids,existing_minigrids,facilities,grid_extension,existing_grid,mean_ndvi,mean_wind_speed,mean_pvout_solar_radiation,building_count,permanent_building_count,educational_facilities,health_facilities,social_facilities,services,primary_roads,secondary_roads,tertiary_roads,unclassified_roads,percentage_crop_land,percentage_built_area,contains_protected_area,protected_area_name,electrification_strategy
28,Moroto East,Existing,Moroto East,0.02,5503105,Agoro,Pawach,Moroto East,Poor,0.19,5503105,0,1,1,0,0,0.0,0.0,1617.013950892857,211,23,0,1,0,0,0,0,0,2,10.4125,1.045,True,Agoro - Agu Forest Reserve,Existing minigrid
29,Muddu Central,Existing,Muddu Central,0.04,5502887,Palabek Ogili,Paracelle,Mudu Central,Some-how,0.48,5502887,0,2,1,0,0,0.0,0.0,1651.0763020833333,501,34,1,0,0,0,0,0,1,0,7.5175,0.9575,False,,Existing minigrid
30,Ngomoromo,Existing,Ngomoromo,0.04,5501315,Lokung,Licwar,Ngomoromo,Medium,0.74,5501315,0,1,3,0,0,0.3995438814163208,1.3105624095992945,1604.3033482142855,861,105,1,1,0,0,0,1,0,3,17.365,1.1225,False,,Existing minigrid
31,Oboko TC,Existing,Oboko TC,0.04,5502916,Agoro,Pawach,Oboko,Poor,0.22,5502916,0,1,0,0,0,0.0,0.0,1632.723858173077,172,15,0,0,0,0,0,0,0,2,16.675,0.6175,True,Agoro - Agu Forest Reserve,Existing minigrid
32,Ogili TC,Existing,Ogili TC,0.08,5502905,Palabek Ogili,Lugwar,Lagotopuk,Best,0.83,5502905,2,1,2,0,0,0.0,0.0,1663.330078125,2746,199,1,1,0,0,0,0,0,1,14.095,6.279999999999999,False,,Candidate minigrid
33,Opoki,Existing,Opoki,0.04,5502848,Padibe West,Madi Kiloc,Opoki East,Some-how,0.55,5502848,0,1,0,0,0,0.0,0.0,1667.06201171875,408,55,0,0,0,0,0,0,0,0,13.716666666666669,2.275,True,Aram Forest Reserve,Existing minigrid
34,Otaa,Existing,Otaa,0.04,5502887,Palabek Ogili,Paracelle,Mudu Central,Some-how,0.46,5502887,0,2,1,0,0,0.0,0.0,1651.0763020833333,501,34,1,0,0,0,0,0,1,0,7.5175,0.9575,False,,Existing minigrid
35,Paloga Central,Existing,Paloga Central,0.08,5502939,Paluga,Paluga,Central,Best,0.9,5502939,0,1,2,0,0,0.0,0.0,1646.9119873046875,430,166,2,0,0,0,0,0,0,1,11.4025,30.0225,False,,Existing minigrid
36,Pangira -Licwar Central,Existing,Pangira-Licwar Central,0.04,5503160,Lokung,Licwar,Licwar Central,Medium,0.72,5503160,0,1,0,0,0,0.0,0.0,1625.72802734375,483,95,0,0,0,0,0,0,0,1,13.935,16.087500000000002,False,,Existing minigrid
37,Pany Buk East-West,Existing,Pany Buk East-West,0.04,5503104,Agoro,Pawach,Penybuk,Poor,0.2,5503104,0,1,1,0,0,0.0,0.0,1625.2255859375,114,13,1,0,0,0,0,0,0,0,19.5325,0.8125,True,Agoro - Agu Forest Reserve,Existing minigrid
38,Pawena TC,Existing,Pawena TC,0.02,5501561,Palabek Gem,Cubu,Pawena Central,Poor,0.3,5501561,0,1,1,0,0,0.0,0.0,1684.6577919407894,230,46,1,0,0,0,0,0,0,8,8.192499999999999,0.4275,False,,Existing minigrid
39,Potika,Existing,Potika,0.04,5503099,Agoro,Potika,Cwiny Muribe-b,Medium,0.66,5503099,0,1,2,0,0,0.0,0.0,1577.4537760416667,855,140,1,1,0,0,0,0,0,0,12.3425,5.2625,True,Agoro - Agu Forest Reserve,Existing minigrid
40,Ywaya,Existing,Ywaya,0.04,5500908,Agoro,Pobar,Ywaya,Some-how,0.53,5500908,0,1,1,0,0,0.0,0.0,1637.6187065972222,236,16,1,0,0,0,0,0,0,1,9.445,0.995,False,,Existing minigrid
58,Labayango,Existing,Labayango,0.04,5502962,Padibe East,Wangtit,Guci,Medium,0.65,5502962,0,1,0,0,0,0.0,0.0,1661.065673828125,105,10,0,0,0,0,0,0,0,0,25.1825,3.5825,False,,Existing minigrid
59,Apyetta TC,Existing,Apyetta TC,0.04,5502920,Palabek Ogili,Apyetta,Apyetta Central,Medium,0.7,5502920,0,2,2,0,0,0.4397552907466888,1.401940728528417,1666.0834603658536,3411,362,1,1,0,0,0,1,0,26,9.4575,3.645,False,,Existing minigrid
